City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Esperance,AU,73.24,moderate rain,-33.8667,121.9,Hospitality Esperance
110,Altamont,US,56.79,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
112,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
113,North Myrtle Beach,US,70.25,clear sky,33.816,-78.68,Avista Resort
114,New Norfolk,AU,52.92,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
115,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
116,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
117,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Scoop Guest House
118,Vestmannaeyjar,IS,35.17,overcast clouds,63.4427,-20.2734,Glamping & Camping
119,Bonoua,CI,83.82,few clouds,5.2741,-3.595,Hotel Bon Samaritian
120,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
121,Mehamn,NO,31.91,snow,71.0357,27.8492,Mehamn Arctic Hotel AS
123,Fortuna,US,73.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
125,Castro,BR,72.28,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
126,Jamestown,US,54.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
129,Inhambane,MZ,75.42,few clouds,-23.865,35.3833,Oceano
131,Westport,US,56.91,clear sky,41.1415,-73.3579,The Westport Inn
132,Ponta Delgada,PT,62.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
133,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
134,Xai-Xai,MZ,74.28,clear sky,-25.0519,33.6442,Complexo da Familia
137,Rincon,US,69.71,broken clouds,32.296,-81.2354,Days Inn Rincon
138,Kaitangata,NZ,60.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
140,Bengkulu,ID,73.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
141,Lundazi,ZM,62.31,overcast clouds,-12.2929,33.1782,Knox Lodge
142,Kawalu,ID,72.68,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
143,Dharchula,IN,41.47,clear sky,29.85,80.5333,Mahara Hotel
144,Maniwaki,CA,32.54,light snow,46.3834,-75.966,Centre Chateau Logue
145,San Ignacio,BZ,82.54,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
146,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
148,Tuatapere,NZ,57.81,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
151,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
153,Sitka,US,44.49,overcast clouds,57.0531,-135.33,Westmark Sitka
155,Chuy,UY,79.32,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
157,Atuona,PF,77.77,clear sky,-9.8,-139.0333,Villa Enata
159,Ubajara,BR,72.37,overcast clouds,-3.8544,-40.9211,Pousada Senhor da Canoa
160,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
161,Nalgonda,IN,67.42,scattered clouds,17.05,79.2667,Sai Krishna Residency
162,Maragogi,BR,81.86,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
163,Lagoa,PT,59.65,overcast clouds,39.05,-27.9833,Casa Das Faias
165,Port Alfred,ZA,70.59,clear sky,-33.5906,26.891,The Halyards Hotel
167,Jalu,LY,54.23,clear sky,29.0331,21.5482,صاحبة الفخامة
168,Sur,OM,67.82,clear sky,22.5667,59.5289,Sur Plaza Hotel
169,Plymouth,US,55.78,clear sky,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
171,Nara,JP,39.97,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
172,Camacha,PT,61.56,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
173,San Patricio,US,79.21,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
174,Suruc,TR,41.2,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
175,Alvaraes,BR,84.07,light rain,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
176,Wamba,NG,76.05,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
178,Haverfordwest,GB,46.06,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
180,Alice Springs,AU,62.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
183,Rapar,IN,66.54,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
184,Ambilobe,MG,73.47,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
186,Celendin,PE,57.72,light rain,-6.8703,-78.1517,Villa Madrid
187,Samarai,PG,80.56,scattered clouds,-10.6167,150.6667,Nuli Sapi
189,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
191,Hamilton,US,58.05,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
192,Atocha,BO,62.78,few clouds,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
196,Plettenberg Bay,ZA,65.21,clear sky,-34.0527,23.3716,Thanda Vista B&B
197,Ahipara,NZ,75.47,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
198,Binga,ZW,71.51,light rain,-17.6203,27.3414,Lakeview Inn Binga
199,Port Lincoln,AU,64.99,clear sky,-34.7333,135.8667,Port Lincoln Hotel
200,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
201,Tura,IN,53.83,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
202,Livingston,GB,42.13,clear sky,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
204,Coquimbo,CL,73.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
207,Kiunga,PG,71.29,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
208,Porto Nacional,BR,87.8,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
210,Hounde,BF,81.43,clear sky,11.5,-3.5167,Carrefour où ouvriers dorment
211,Pokaran,IN,62.22,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
212,Ribeira Grande,PT,59.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
214,Broome,US,49.8,clear sky,42.2506,-75.833,Chenango Valley State Park
215,Honiara,SB,76.03,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
217,Kuito,AO,60.8,broken clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
218,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
219,Arraial Do Cabo,BR,75.16,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
220,Songea,TZ,63.48,light rain,-10.6833,35.65,mtakuja
222,Geraldton,AU,72.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
223,Newton,US,55.67,clear sky,42.337,-71.2092,Hotel Indigo Boston - Newton Riverside
225,Sayyan,YE,55.45,clear sky,15.1718,44.3244,ملاطف ابوحورية
226,Hailey,US,35.46,clear sky,43.5196,-114.3153,Wood River Inn & Suites
228,Aquiraz,BR,82.49,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
229,San Policarpo,PH,76.64,overcast clouds,12.1791,125.5072,Agapita M. Nicart
230,Ukiah,US,81.03,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
233,Homnabad,IN,65.93,few clouds,17.7667,77.1333,Marthand Vilas
234,Zhuhai,CN,66.69,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
235,Guerrero Negro,MX,76.03,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
236,Guadalupe Y Calvo,MX,57.78,clear sky,26.1,-106.9667,Hotel Pizarro
237,Kavieng,PG,80.29,moderate rain,-2.5744,150.7967,Nusa Island Retreat
238,Potiskum,NG,67.21,clear sky,11.7091,11.0694,Tamir Hotel Ltd
239,Labuhan,ID,74.77,overcast clouds,-6.8844,112.2051,DoubleFAG
240,Saint George,US,70.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
242,Mackay,AU,70.68,scattered clouds,-21.15,149.2,International Lodge Motel
243,Richards Bay,ZA,73.35,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
244,Port Moresby,PG,71.02,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
